,label,material/trim,description,location,qty,vintage black,khaki,kombu green,dinoflage
10,a,shell fabric,sotd109-c1-y 10k/8k 10k/8k +2-layer +breathable coating+dwr,main body,none,vintage black,khaki,kombu green,dinoflage
11,b,lining,210t-e terry emboss taffeta   (supplied by ecoya),"inside lining, lower leg gaiters",none,black,black,black,black
12,c,lining, velvety tricot - soto048-1 (supplied by solis),"inside waistband, handwarmer pocket bag front panel only, and inside fly panel",none,black,black,black,black
13,d,other,nylon/elastic lycra - sono029-1 (supplied by solis),"lower leg gators, internal crotch gusset",none,black,black,black,black
16,aa,zipper,"ykk no.5 nylon coil zippers, auto-lock slider da8lh",fly,1,vintage black 580,khaki 886,duffel 237,duffel 237
17,bb,zipper,"ykk no.5 nylon coil zippers, auto-lock slider da8lh1 (zippers close from c.b. to side seam)",back pockets,2,vintage black 580,khaki 886,duffel 237,duffel 237
18,cc,zipper,"ykk no.3 nylon conceal zippers, auto-lock slider da8lh1 (zippers close from c.b. to side seam)",phone pocket,1,vintage black 580,khaki 886,duffel 237,duffel 237
19,dd,zipper pull,abzp_01 utility cord pulls (supplied by wei rong),back pockets (2),2,black,black,black,black
22,ee,hardware,"abjbt_01 jean button (16.3mm) ('air blaster' deboss logo), incl. washer",at c.f. closure.,1,dark anti brass bi-18,dark anti brass bi-18,dark anti brass bi-18,dark anti brass bi-18
23,ff,hardware,"snap buttons absnp_01 (sets), 17mm  (incl. washers)",bang snaps (2),2,dark anti brass bi-18,dark anti brass bi-18,dark anti brass bi-18,dark anti brass bi-18
24,gg,hardware,12mm metal eyelet  (incl. washers),"front waistband 10cm each side of center front (2), left belt loop (1)",3,dark anti brass bi-18,dark anti brass bi-18,dark anti brass bi-18,dark anti brass bi-18
25,hh,hardware,metal lace hook,2 pcs at bottom leg openings.  place at cf of each leg opening.,2,black oxidized,black oxidized,black oxidized,black oxidized
26,ii,drawcord,polyester flat lace drawcord with metal sealed ends.  w:1 cm,waistband,1,black,black,dark olive,dark olive
27,jj,elastic,gripper elastic,at inside lower leg gators,2,black,black,black,black
28,kk,main label,abwv_67 freedom main label,"inside c.b. waist, see q/a for detail",1,gold/black,gold/black,gold/black,gold/black
29,ll,size label,abwv_69v vietnam size label,sewn in and centered below main label,1,black/gold,black/gold,black/gold,black/gold
30,mm,w/c label,satin/printed w/c label   (supplied by your side),"at inside wearers left, 8 cm from waistband seam",1,black,black,black,black
31,nn,abwvlp_01 woven loop,abwvlp_01 (supplied by sml),inside center back waist seam,1,black/gold,black/gold,black/gold,black/gold
32,oo,branding,abpa_77 freedom seam label,"hammer pocket, see placement page for detail",1,black/oxblood,black/oxblood,brown/ dark brown,brown/ dark brown
36,qq,hangtag,tbd,tbd,1,tbd,tbd,tbd,tbd
37,rr,hangtag,tbd,tbd,1,tbd,tbd,tbd,tbd
38,ss,polybag w/ warning matter,airpill logo print:  16 cm,centered on poly bag,1,black,black,black,black
39,tt,country of origin sticker (supplied by your side),made in china sticker,centered above upc sticker,1,white,white,white,white
40,uu,upc sticker (supplied by your side),sticker width 3.5 cm,lookers right bottom corner,1,white,white,white,white
