,position,ref num,location,amount,port,military,bone/floral print,black,vintage camo broken twill,0
8, #5 vislon zipper,ykk / 2-way semi auto locking with 2 l1 custom pulls,center front,1,silder/ pull color: ykk rl bright copper/ zipper tape and teeth color: 19-1718 tcx port,silder/ pull color: ykk rl bright copper/ zipper tape and teeth color: 19-0515 tcx military,silder/ pull color: ykk rl bright copper/ zipper tape and teeth color: 12-0105 tcx bone,silder/ pull color: ykk rl bright copper/ zipper tape and teeth color: 19-4006 tcx black,silder/ pull color: ykk rl bright copper/ zipper tape and teeth color: 19-4006 tcx black,none
9, #5 metal zipper,non ykk / 1-way dadhr die cast wire non locking,chest pocket vertical,1,silder/ pull/ teeth color: match color to ykk rl bright copper/ zipper tape color: 16-5807 tcx silt,silder/ pull/ teeth color: match color to ykk rl bright copper/ zipper tape color: 19-0515 tcx military,silder/ pull/ teeth color: match color to ykk rl bright copper/ zipper tape color: 12-0105 tcx bone,silder/ pull/ teeth color: match color to ykk rl bright copper/ zipper tape color: 19-4006 tcx black,silder/ pull/ teeth color: match color to ykk rl bright copper/ zipper tape color: 19-4006 tcx black,none
10, #5 coil zipper,non ykk / 1-way dadhr die cast wire non locking,underarm vents,1 per side = 2,silder/ pull color: match color to ykk rl bright copper/ zipper tape and teeth color: black,silder/ pull color: match color to ykk rl bright copper/ zipper tape and teeth color: black,silder/ pull color: match color to ykk rl bright copper/ zipper tape and teeth color: black,silder/ pull color: match color to ykk rl bright copper/ zipper tape and teeth color: black,silder/ pull color: match color to ykk rl bright copper/ zipper tape and teeth color: black,none
11, #5 metal zipper,non ykk / 1-way dadhr die cast wire non locking,hand pockets vertical,1 per side = 2,silder/ pull color: ykk rl bright copper/ zipper tape and teeth color: 19-1718 tcx port,silder/ pull color: ykk rl bright copper/ zipper tape and teeth color: 19-0515 tcx military,silder/ pull color: ykk rl bright copper/ zipper tape and teeth color: 12-0105 tcx bone,silder/ pull color: ykk rl bright copper/ zipper tape and teeth color: 19-4006 tcx black,silder/ pull color: ykk rl bright copper/ zipper tape and teeth color: 19-4006 tcx black,none
12, #5 coil zipper,non ykk / 1-way dadhr die cast wire non locking,lining pocket vertical,1,silder/ pull color: match color to ykk rl bright copper/ zipper tape and teeth color: black,silder/ pull color: match color to ykk rl bright copper/ zipper tape and teeth color: black,silder/ pull color: match color to ykk rl bright copper/ zipper tape and teeth color: black,silder/ pull color: match color to ykk rl bright copper/ zipper tape and teeth color: black,silder/ pull color: match color to ykk rl bright copper/ zipper tape and teeth color: black,none
13,additional zipper pulls,supplier/ reference number,location,amount,port,military,bone/floral print,black,vintage camo broken twill,0
14,"""l1-2018-trim-017
l1 zipper pull. graphic debossed 1mm 3.2 cm x 0.92 cm ",ykk,center front,top and bottom pull = 2,ykk  rl bright copper,ykk  rl bright copper,ykk  rl bright copper,ykk  rl bright copper,ykk  rl bright copper,none
15,l1-2018-trim-018 / non branded zipper pull faux leather quality to match trims faux leather piece = 4 cm x 0.6 cm ,please source: same supplier as other faux leather trims,chest pocket vertical,1,brown faux leather,brown faux leather,brown faux leather,brown faux leather,brown faux leather,none
16,11nt-045 / self fabric pull,factory made,underarm vents,1 per side = 2,port shell fabric,military shell fabric,bone shell fabric,black shell fabric,vintage camo broken twill shell fabric,none
17,l1-2018-trim-018 / non branded zipper pull faux leather quality to match trims faux leather piece = 4 cm x 0.6 cm ,please source: same supplier as other faux leather trims,hand pockets vertical,1 per side = 2,brown faux leather,brown faux leather,brown faux leather,brown faux leather,brown faux leather,none
18,11nt-045 / self fabric pull,factory made,lining pocket vertical,1,port shell fabric,military shell fabric,bone shell fabric,black shell fabric,vintage camo broken twill shell fabric,none
19,branded trims,supplier/ reference number,location,amount,port,military,bone/floral print,black,vintage camo broken twill,0
20,"l1-2018-trim-009 / 
freedom snap  / artwork debossed 1mm. 1.7 cm x 1.7cm",luks,center front placket,4,ykk cp016 bright copper,ykk cp016 bright copper,ykk cp016 bright copper,ykk cp016 bright copper,ykk cp016 bright copper,none
21,"l1-2018-trim-009 / 
freedom snap  / artwork debossed 1mm. 1.7 cm x 1.7cm",luks,hand pockets,1,ykk cp016 bright copper,ykk cp016 bright copper,ykk cp016 bright copper,ykk cp016 bright copper,ykk cp016 bright copper,none
22,"l1-2018-trim-003/ 
faux leather patch / artwork debossed 1mm 6.25 cm x 4.6 cm
brown leather",please source,front right hem,1,brown faux leather,brown faux leather,brown faux leather,brown faux leather,brown faux leather,none
23,"l1-2018-trim-004
brown faux leather hem wrap / artwork debossed 1mm 5.7 cm x 2.87 cm",please source,front right hand pocket flap,1,brown faux leather,brown faux leather,brown faux leather,brown faux leather,brown faux leather,none
24,"l1-2018-trim-024/  l1 embroidery small
3cm x 2.77cm  ",soluna,left sleeve hem,1,matching,matching,matching,matching,matching,none
25,"l1-2018-trim-025 /
l1 embroidery large
3.7cm x 3.4cm  ",soluna,back right,1,matching,matching,matching,matching,matching,none
26,trims,supplier/ reference number,location,amount,port,military,bone/floral print,black,vintage camo broken twill,0
27,15mm metal snap ,luk's / 404,powder skirt - front closure,"2 female, 4 male",ykk cp016 bright copper,ykk cp016 bright copper,ykk cp016 bright copper,ykk cp016 bright copper,ykk cp016 bright copper,none
28,15mm metal snap ,luk's / 404,snap away powder skirt - lining facing ,1 male 1 female,ykk cp016 bright copper,ykk cp016 bright copper,ykk cp016 bright copper,ykk cp016 bright copper,ykk cp016 bright copper,none
29,15mm metal snap ,luk's / 404,powder skirt - jacket to pant connection,3 sets,ykk cp016 bright copper,ykk cp016 bright copper,ykk cp016 bright copper,ykk cp016 bright copper,ykk cp016 bright copper,none
