,position,ref num,location ,content,black,dusty green,silt,walnut,none,none
9,none,lucky / ltc32509-r5-h311 2l  / 20k/20k,a,none,black,dusty green,silt,walnut,none,none
10,faux leather,suppler? can you source. same quality as other faux leather trims,back right belt loop,none,black faux leather,black faux leather,black faux leather,black faux leather,none,none
11,insulation,supplier/ reference number,location ,content,black,dusty green,silt,walnut,0,0
13,seam tape,supplier/ reference number,location ,content,black,dusty green,silt,walnut,0,0
14,seam tape,tsgs ,fully taped,none,fully taped,fully taped,fully taped,fully taped,none,none
15,lining,supplier/ reference number,location ,content,black,dusty green,silt,walnut,0,0
16,solid 210t ,solis / sonp006-1,main body,100% nylon,black,black,black,black,none,none
17,reverse brushed tricot,supplier / ref code,seat,100% polyester,black,black,black,black,none,none
18,solid 210t ,solis / sonp006-1,secondary pocket bags,100% nylon,black,black,black,black,none,none
19,solid coated 210t,solis / sonp006-pu03,lower leg & gaiter,100% polyester,black,black,black,black,none,none
20,brushed tricot,supplier / ref code,"waistband, fly, hand pocket bags",100% polyester,black,black,black,black,none,none
21,power stretch mesh,supplier / ref code,leg vents,100% polyester,black,black,black,black,none,none
22,lower leg lining print (see pdf),supplier/ reference number,location ,content,black,dusty green,silt,walnut,0,0
23,on coated 210t,please source ,lower leg front and back,none,pantone 18-0950 tcx harvest screen print,pantone 18-0403 tcx gunmetal,pantone 18-0403 tcx gunmetal,pantone 18-0950 tcx harvest screen print,none,none
