,0,1,2,3,4,5,6,7,8,9,10
0,l1 womens pant,none,none,none,none,none,none,sample size small / xs-l,none,none,none
1,season:,none,winter 2018/2019,none,none,contractor:,none,soluna,none,none,none
2,style number:,none,l1ta-204-18,none,none,date created:,none,2017-03-02 00:00:00,none,none,none
3,style name:,none,heartbreaker twill,none,none,date revised:,none,2017-04-05 00:00:00,none,none,none
4,waterproof/breathability:,none,10k/10k,none,none,block:,none,lita-205-16 heartbreaker basic,none,none,none
5,seam sealing:,none,critically seam sealed,none,none,fit:,none,skinny,none,none,none
6,insulation:,none,shell,none,none,target fob:,none,none,none,none,none
8,none,none,none,none,colorways,none,none,none,none,none,none
9,shell fabric ,supplier/ reference number,location ,content,silt,military,ink,port,bone,black,walnut
10,cavalry stretch twill,raco / calvary stretch twill 950703-b / 10k/10k / c6 + dwr,a,none,silt,military,ink,port,bone,black,walnut
11,brown faux leather,please source,back right belt loop,none,brown faux leather,brown faux leather,brown faux leather,brown faux leather,brown faux leather,brown faux leather,brown faux leather
13,insulation,supplier/ reference number,location ,content,silt,military,ink,port,bone,black,walnut
14,non insulated,none,none,none,none,none,none,none,none,none,none
17,seam tape,supplier/ reference number,location ,content,silt,military,ink,port,bone,black,walnut
18,seam tape,tsgs ,critically taped,none,critically taped,critically taped,critically taped,critically taped,critically taped,critically taped,critically taped
20,lining,supplier/ reference number,location ,content,silt,military,ink,port,bone,black,walnut
21,regular mesh,1606b02 (als-16038),main body,100% polyester,black,black,black,black,black,black,black
22,solid 210t ,solis/ sonp006-1 ,secondary pocket bags,100% nylon,black,black,black,black,black,black,black
23,solid coated 210t ,solis / sonp006-pu03,lower leg & gaiter,100% nylon,black,black,black,black,black,black,black
24,brushed tricot,supplier / ref code,"waistband, fly, hand pocket bags",100% polyester,black,black,black,black,black,black,black
26,lower leg lining print (see pdf),supplier/ reference number,location ,content,silt,military,ink,port,bone,black,walnut
27,on coated 210t,please source ,lower leg front and back,none,pantone 16-5807 tcx silt ,pantone 16-5807 tcx silt ,pantone 16-5807 tcx silt ,pantone 16-5807 tcx silt ,pantone 16-5807 tcx silt ,pantone 16-5807 tcx silt ,pantone 16-5807 tcx silt 
