,0,1,2,3,4,5,6,7,8,9
0,l1 mens pant,none,none,none,none,none,none,sample size large / xs-xxl,none,none
1,season:,none,winter 2018/2019,none,none,contractor:,none,soluna,none,none
2,style number:,none,l1-210-18,none,none,date created:,none,2017-03-13 00:00:00,none,none
3,style name:,none,thunder,none,none,date revised:,none,2017-04-04 00:00:00,none,none
4,waterproof/breathability:,none,10k/10k,none,none,block:,none,l1-206-16 thunder paper pattern,none,none
5,seam sealing:,none,critically seam sealed,none,none,fit:,none,skinny fit,none,none
6,insulation:,none,non insulated,none,none,target fob:,none,32,none,none
8,none,none,none,none,colorways,none,none,none,none,none
9,shell fabric ,supplier/ reference number,location ,content,black,walnut,military,dark slate,gunmetal,none
10,calvary stretch twill,raco / calvary stretch twill 950703-b / 10k/10k / c6 + dwr,a,100% polyester,black,walnut,military,dark slate,gunmetal,none
11,leather,suppler? can you source same quality as other faux  leather trims,back right belt loop,none,black faux leather,black faux leather,black faux leather,black faux leather,black faux leather,none
13,insulation,supplier/ reference number,location ,content,black,walnut,military,dark slate,gunmetal,0
14,non insulated,none,none,none,none,none,none,none,none,none
16,seam tape,supplier/ reference number,location ,content,black,walnut,military,dark slate,gunmetal,0
17,seam tape,tsgs,critically taped,none,critically taped,critically taped,critically taped,critically taped,critically taped,none
19,lining,supplier/ reference number,location ,content,black,walnut,military,dark slate,gunmetal,0
20,regular mesh,1606b02 (als-16038),main body,100% polyester,black,black,black,black,black,none
21,solid 210t ,solis / sonp006-1,secondary pocket bags,100% nylon,black,black,black,black,black,none
22,solid coated 210t,solis / sonp006-pu03,lower leg & gaiter,100% nylon,black,black,black,black,black,none
23,brushed tricot,supplier / ref code,"waistband, fly, hand pocket bags",100% polyester,black,black,black,black,black,none
25,lower leg lining print (see pdf),supplier/ reference number,location ,content,black,walnut,military,dark slate,gunmetal,0
26,on coated 210t,please source ,lower leg front and back,none,pantone 18-0950 tcx harvest screen print,pantone 18-0950 tcx harvest screen print,pantone 18-0950 tcx harvest screen print,pantone 18-0950 tcx harvest screen print,pantone 18-0950 tcx harvest screen print,none
