,description,item,ref,amount,colorway/4,colorway/5
1,center front,#5 coil, za snap-on type (ykk) 1-way semi auto lock,1,enamel dull black slider / black tape,enamel dull black slider / black tape
2,inside pocket,#5 coil,dadhr diecast wire (non ykk) 1-way (non locking),1,enamel dull black slider / black tape,enamel dull black slider / black tape
3,zipper pulls,item,supplier/ ref number,amount,dark slate,raven
4,cf,l1-2016-trim-009,top pull only,1,enamel dull black,enamel dull black
5,hem,item,supplier/ ref number,amount,dark slate,raven
6,hem drawcord,8mm round woven drawcord with clear plastic tip,sunsun / sv160218-1 a,1,dark slate,raven
7,hem grommets,metal grommet,none,1 per side = 2,enamel dull black,enamel dull black
8,l1 branded trims,item,supplier/ ref number,amount,dark slate,raven
9,front left sleeve hem,l1 embroidery small,soluna / l1-2016-026,1,dtm,dtm
10,center front & hand pocket welts,l1 metal snap,luks / l1-2017-trim-001 l12017-trim-100,7,matt black finish,matt black finish
11,left chest,screen print  (see page 4 pdf),supplier / trim number,1,screen print  (see page 4 pdf),screen print  (see page 4 pdf)
12,back ,screen print  (see page 5 pdf),supplier / trim number,1,screen print  (see page 5 pdf),screen print  (see page 5 pdf)
13,thread,spi,ref number,amount,dark slate,raven
14,seams,10-12 spi,none,none,matching,matching
15,topstitch,8-10 spi,none,none,matching,matching
16,bartacks,none,none,none,matching,matching
17,marketing,description,ref number,amount,dark slate,raven
18,lining cb locker loop,l1 hang tag,l1 hang tag,1,l1 hang tag,none
19,lining cb facing,wp/ breathability // rn ca / made in china,wp/ breathability // rn ca / made in china,1,wp/ breathability // rn ca / made in china,none
20,lining left side seam,address label,sew as loop,1,address label,none
21,lining left side seam,content label,sew as loop,1,content label,none
22,lining left side seam,washing label,sew as loop,1,washing label,none
23,lining locket loop to attach hang tags,clear zip tie,supplier // ,1,clear zip tie,none
