,label,material/trim,description,location,qty,black wax,camel wax,soviet grey wax,vintage blue wax,see see collab
10,a,shell fabric,sotp069-q03-ah 100% polyester wax coating tpu membrane (supplied by solis),"main body, pockets",none,black wax,camel wax,soviet grey wax,vintage blue wax,black wax
11,b,lining,emb07 taffeta emboss (supplied by ecoya),inside lining pocket bag,none,black,black,black,black,black
12,c,other,rin knit,collar,none,black,black,black,black,black
14,aa,hardware,"snap buttons absnp_01 (sets), 17mm (incl. washers)", (4)c.f.,4,bi-17 mid dark anti brass,bi-17 mid dark anti brass,bi-17 mid dark anti brass,bi-17 mid dark anti brass,bi-17 mid dark anti brass
15,bb,main label,abwv_84 s.layer main label,"inside c.b. neck, see q/a for placement",1,cream/black,cream/black,cream/black,cream/black,cream/black
16,cc,size label,abwv_69 inside joke label,sewn in and centered below main label,1,black/cream,black/cream,black/cream,black/cream,black/cream
17,dd,w/c label,satin label with print,"wearer's left side seam, 10 cm up from bottom edge",1,black,black,black,black,black
18,ee,abwvlp_01 woven loop,abwvlp_01 (supplied by sml),inside center back neck seam,1,black/cream,black/cream,black/cream,black/cream,black/cream
19,ff,branding,see see patch,"left chest, see placement page for detail",1,,,,,black/white
20,gg,branding,abwv_76 glacier seam label,"left pocket, see placement page for detail",1,black/cream,black/cream,black/cream,black/cream,black/cream
22,ii,hangtag,tbd,tbd,1,tbd,tbd,tbd,tbd,tbd
23,jj,hangtag,tbd,tbd,1,tbd,tbd,tbd,tbd,tbd
24,kk,polybag w/ warning matter,airpill logo print:  16 cm,centered on poly bag,1,clear,clear,clear,clear,clear
25,ll,country of origin sticker (supplied by your side),made in china sticker,centered above upc sticker,1,tbd,tbd,tbd,tbd,tbd
26,mm,upc sticker (supplied by your side),sticker width 3.5 cm,lookers right bottom corner,1,tbd,tbd,tbd,tbd,tbd
