,description,item,ref,amount,colorway/4,colorway/5
1,fly ,#5 coil ,ykk dalh // 1-way locking,1,silder/pull color: x6 black oxides/ tape color: black,silder/pull color: x6 black oxides/ tape color: black
2,leg pocket,#3 coil,non ykk dadr4 l-type drop // 1-way locking,1,silder/pull color: x6 black oxides/ tape color: black,silder/pull color: x6 black oxides/ tape color: black
3,hem,#5 coil,non ykk dadhr diecast wire // 1-way locking,1 per side = 2,silder/pull color: x6 black oxides/ tape color: black,silder/pull color: x6 black oxides/ tape color: black
4,l1 branded trims,item,supplier/ ref number,amount,black overdye denim,brown overdye denim
5,cf fly,17mm donut post shank,supplier / l1-2016-trim-005,1,matte black,matte black
6,front left hand pocket,10mm square rivet,l1-2016-trim-004,1,matte black,matte black
7,front pocket edges,10mm denim rivet ,14-l1sp-089,3,matte black,matte black
8,back right waist band,"l1  patch 
with deboss 2",l1-2017-trim-104,1,black,black
9,back left pocket ,l1 small faux suede patch,l1-2017-trim-106,1,black,black
10,front left hem,l1 embroidery large,factory sorced // l1-2016-trim-027,1,dtm shell,dtm shell
11,other trims,item,supplier/ ref number,amount,black overdye denim,brown overdye denim
12,waist drawcord,"3/8"" flat waxed shoe lace with clear plastic tips",supplier / ref number,1 + 2 clear plastic tips,black waxed / clear tips,black waxed / clear tips
13,leg pocket,key clip,j&k // hk-001,1,black,black
14,webbing & elastic,item,supplier/ ref number,amount,black overdye denim,brown overdye denim
15,keyclip loop leg pocket,"1/4"" flat x 1 3/4"" loop",none,1,black,none
16,thread,spi,supplier/ ref number,amount,black overdye denim,brown overdye denim
17,"shell seams 1/4"" allowance ",12 spi (special allowance to avoid seam slip on shell  fabric),# 604 tseu,regular thread,matching,matching
18,denim weight topstitch,8-10 spi,#606 tseu,heavy weight topstitch thread,matching,matching
19,bartacks,none,# 604 tseu,regular thread,matching,matching
20,l1 marketing,item,supplier/ ref number,amount,black overdye denim,brown overdye denim
21,front left belt loop,l1 pant hang tag,supplier // ,1,l1 pant hang tag,l1 pant hang tag
22,front left belt loop behind main hang tag,denim warning hang tag,supplier // ,1,denim warning hang tag,denim warning hang tag
23,front left belt loop behind denim dye warning hang tag,l1 pant fit hang tag ,supplier // skinny fit,1,l1 pant fit hang tag  // skinny fit,l1 pant fit hang tag  // skinny fit
24,center back waist band facing,l1 pant size label,l1 pant size label,1,l1 pant size label,l1 pant size label
25,lining front right,l1 main label,skinny fit // 10k/10k // critically taped ,1,skinny fit // 10k/10k // critically taped ,skinny fit // 10k/10k // critically taped 
26,lining left side seam,address label,sew as loop,1,address label,address label
27,lining left side seam,content label,sew as loop,1,content label,content label
28,lining left side seam,address label,sew as loop,1,address label,address label
29,front left belt loop to attach hang tags,clear zip tie,supplier // ,1,clear zip tie,clear zip tie
