,description,ref,location,amount,colorway/4,colorway/5
1, #5 coil zipper,ykk / 1-way semi auto locking with 1 l1 custom pull,center front,1,silder/pull color: x6 black oxides zipper tape color: black,silder/pull color:x6 black oxides  zipper tape color: black
2, #5 coil zipper,non ykk / 1-way dadhr die cast wire non locking,lining pocket vertical,1,silder/pull color: x6 black oxides zipper tape color: black,silder/pull color:x6 black oxides  zipper tape color: black
3,additional zipper pulls,supplier/ reference number,location,amount,vintage camo broken twill,black
4,"""l1-2018-trim-017
l1 zipper pull",ykk,center front,1,x6 black oxides ,x6 black oxides 
5, 11nt-045 / self fabric pull ,factory made,lining pocket vertical,1,match to shell,match to shell
6,branded trims,supplier/ reference number,location,amount,vintage camo broken twill,black
7,"l1-2018-trim-011
half deboss snap",luks,center front placket,5,al023 alloy (d),al023 alloy (d)
8,"l1-2018-trim-002
black leather patch",please source,front right hem,1,black faux leather,black faux leather
9,"l1-2018-trim-024
l1 embroidery small
3cm x 2.77cm  ",please source,left sleeve hem,1,match to shell,match to shell
10,screen prints,supplier/ reference number,location,amount,vintage camo broken twill,black
11,screen print - quality as on sample of black jacket pamela has for collar reference,xxx,left chest,1,"2 color: pantone black, pantone 18-0950 tpx harvest","2 color: pantone black, pantone 18-0950 tpx harvest"
12,screen print - quality as on sample of black jacket pamela has for collar reference,xxx,back,1,"2 color: pantone black, pantone 18-0950 tpx harvest","2 color: pantone black, pantone 18-0950 tpx harvest"
13,trims,supplier/ reference number,location,amount,vintage camo broken twill,black
14,15mm metal snap,luk's / 404,hand pocket welts,1 per side = 2,al023 alloy (d),al023 alloy (d)
15,metal eyelets 11mm,luk's / et89,hem cord exit,1 per side = 2,al023 alloy (d),al023 alloy (d)
16,notions,supplier/ reference number,location,amount,vintage camo broken twill,black
17,8mm round drawcord,xxx,hem,1 (see measurements page for length),black,black
18,"1"" flat elastic",xxx,sleeve hems,1 per side = 2,available,available
19,velcro,supplier/ reference number,location,amount,vintage camo broken twill,black
20,thread,spi,supplier/ ref number,amount,vintage camo broken twill,black
21,seams,10-12 spi,Feb-30,none,match to shell,match to shell
22,topstitch,8-10 spi,Feb-30,none,match to shell,match to shell
23,bartacks,none,100/2,none,match to shell,match to shell
24,labels ,supplier/ reference number,location,amount,vintage camo broken twill,black
25,dwr,soluna/ main label,center back below neck seam,1,dwr,dwr
26,size label (sample size l),soluna/ size label,center back below main label,1,"xs, s, m, l, xl","xs, s, m, l, xl"
27,hang tags,supplier/ reference number,location,amount,vintage camo broken twill,black
28,mens jacket hang tag,soluna/ mens jacket hang tag,center back locker loop,1,mens jacket hang tag,mens jacket hang tag
29,care and content labels,supplier/ reference number,location,amount,vintage camo broken twill,black
30,address label,factory sourced,lining left side seam,1,address label,address label
31,content label,factory sourced,lining left side seam,1,content label,content label
32,washing label,factory sourced,lining left side seam,1,washing label,washing label
